"","genes","logFC","logCPM","F","PValue","FDR"
"SUCO","SUCO",-0.851952901391165,5.59647855142576,1.66208038836728,0.197325324777678,0.94226151814353
"MARS2","MARS2",3.56883358107511,2.22362551614089,1.66128472568499,0.197432608477048,0.94226151814353
"LOC105605627","LOC105605627",4.41474171223606,0.414970764778038,1.66083476966182,0.197493308863812,0.94226151814353
"SLC20A1","SLC20A1",-2.01734505792066,3.61339494007184,1.66081892972324,0.197495446116638,0.94226151814353
"NME4","NME4",3.03075429266466,2.62388968920949,1.6604518003288,0.197544989787785,0.94226151814353
"LY6G5B","LY6G5B",4.01611081518859,1.10364626245032,1.6599450207736,0.197613403025056,0.94226151814353
"LOC105603277","LOC105603277",-4.58670813745509,-0.1112809333781,1.65799616184737,0.197876750270472,0.94226151814353
"SLC39A13","SLC39A13",-4.58670813745509,-0.1112809333781,1.65799616184737,0.197876750270472,0.94226151814353
"DCAF17","DCAF17",-1.67101239235829,4.03694512471829,1.65777389914733,0.197906810533138,0.94226151814353
"ADGRL2","ADGRL2",0.556518331338131,7.26241587173901,1.65653641917699,0.198074273388792,0.94226151814353
"C8H6orf203","C8H6orf203",1.46765090532132,4.32200669096926,1.65595519357872,0.198152985522077,0.94226151814353
"RASL12","RASL12",4.57311163198963,0.106238943312621,1.65528271741955,0.198244101001075,0.94226151814353
"FAM196A","FAM196A",4.28665213888526,0.627988376588512,1.65522729721391,0.198251612215609,0.94226151814353
"RAD51D","RAD51D",4.66092819451034,-0.0810963639023593,1.65417373387309,0.198394467352102,0.94226151814353
"MTURN","MTURN",1.01967439724801,5.14564090742273,1.65301619670651,0.198551559816864,0.94226151814353
"MMP19","MMP19",4.53279223007545,0.157065190136294,1.65268435717802,0.198596621564179,0.94226151814353
"THY1","THY1",2.3922361332109,3.23145133554707,1.6513657740959,0.198775795596046,0.94226151814353
"KCTD7","KCTD7",-4.55082177251123,-0.106835408499364,1.65056530232979,0.198884659261607,0.94226151814353
"LOC105602836","LOC105602836",-4.55082177251123,-0.106835408499364,1.65056530232979,0.198884659261607,0.94226151814353
"LOC105614718","LOC105614718",-4.55082177251123,-0.106835408499364,1.65056530232979,0.198884659261607,0.94226151814353
"LOC105615265","LOC105615265",-4.55082177251123,-0.106835408499364,1.65056530232979,0.198884659261607,0.94226151814353
"MS4A10","MS4A10",-4.55082177251123,-0.106835408499364,1.65056530232979,0.198884659261607,0.94226151814353
"RNF148","RNF148",-4.55082177251123,-0.106835408499364,1.65056530232979,0.198884659261607,0.94226151814353
"PDLIM1","PDLIM1",1.09687870050579,4.973180352636,1.65020854328426,0.198933200816309,0.94226151814353
"OCIAD1","OCIAD1",0.606661911549153,6.78056607195622,1.6501669160071,0.198938865636841,0.94226151814353
"CPQ","CPQ",3.3882394629456,2.28952566580026,1.64816947561442,0.199210908682076,0.94226151814353
"LOC105607406","LOC105607406",-3.88033042480531,1.09648325608396,1.64698546472759,0.199372372206997,0.94226151814353
"ARMCX4","ARMCX4",4.64197861591001,-0.0829090451425252,1.64660994729472,0.199423613601033,0.94226151814353
"FAH","FAH",4.64197861591001,-0.0829090451425252,1.64660994729472,0.199423613601033,0.94226151814353
"FNDC8","FNDC8",4.64197861591001,-0.0829090451425252,1.64660994729472,0.199423613601033,0.94226151814353
"HSD17B1","HSD17B1",4.64197861591001,-0.0829090451425252,1.64660994729472,0.199423613601033,0.94226151814353
